Convict,Description,Convicted-At
William Andrews,"William Andrews, one of 170 convicts transported on the Glory, May 1818","Kent, Rochester City Quarter Session"
Samuel Arnold,"Samuel Arnold, one of 170 convicts transported on the Glory, May 1818",London Gaol Delivery
Daniel Arrowsmith,"Daniel Arrowsmith, one of 170 convicts transported on the Glory, May 1818",Stafford Assizes
James Arundel,"James Arundel, one of 170 convicts transported on the Glory, May 1818",Lancaster Quarter Session
Henry Ashley,"Henry Ashley, one of 170 convicts transported on the Glory, May 1818","York, Kingston Upon Hull Quarter Session"
John Ashton,"John Ashton, one of 170 convicts transported on the Glory, May 1818",Lancaster Quarter Session
Thomas Astbury,"Thomas Astbury, one of 170 convicts transported on the Glory, May 1818","Lancaster, Liverpool Borough Quarter Session"
Thomas Astley,"Thomas Astley, one of 170 convicts transported on the Glory, May 1818",Lancaster Quarter Session
Uriah Aust,"Uriah Aust, one of 170 convicts transported on the Glory, May 1818",Wilts Assizes
Henry Barnes,"Henry Barnes, one of 170 convicts transported on the Glory, May 1818",Lancaster Quarter Session
Robert Barnes,"Robert Barnes, one of 170 convicts transported on the Glory, May 1818",London Gaol Delivery
George Bates,"George Bates, one of 170 convicts transported on the Glory, May 1818",Nottingham Assizes
James Bean,"James Bean, one of 170 convicts transported on the Glory, May 1818",Glasgow Court of Justiciary
John Blake,"John Blake, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
Humphrey Bowdler,"Humphrey Bowdler, one of 170 convicts transported on the Glory, May 1818",Salop Assizes
John Bradley,"John Bradley, one of 170 convicts transported on the Glory, May 1818",Warwick Assizes
John Bradshaw,"John Bradshaw, one of 170 convicts transported on the Glory, May 1818","Lancaster, Liverpool Borough Quarter Session"
John Bridgen,"John Bridgen, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
Thomas Broughton,"Thomas Broughton, one of 170 convicts transported on the Glory, May 1818",Lancaster Assizes
Christian Burke,"Christian Burke, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
John Burke,"John Burke, one of 170 convicts transported on the Glory, May 1818",Kent Assizes
John Bushell,"John Bushell, one of 170 convicts transported on the Glory, May 1818",Surrey Quarter Session
James Butterworth,"James Butterworth, one of 170 convicts transported on the Glory, May 1818","Lancaster, Liverpool Borough Quarter Session"
Frederick Carrick,"Frederick Carrick, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
Edward Carter,"Edward Carter, one of 170 convicts transported on the Glory, May 1818",Essex Assizes
Joseph Carter,"Joseph Carter, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
John Cartwright,"John Cartwright, one of 170 convicts transported on the Glory, May 1818","Lancaster, Liverpool Borough Quarter Session"
James Cash,"James Cash, one of 170 convicts transported on the Glory, May 1818",Lancaster Quarter Session
Israel Chapman,"Israel Chapman, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
Thomas Chapman,"Thomas Chapman, one of 170 convicts transported on the Glory, May 1818",Oxford Assizes
Thomas Churchman,"Thomas Churchman, one of 170 convicts transported on the Glory, May 1818",Bristol City Quarter Session
David Clarke,"David Clarke, one of 170 convicts transported on the Glory, May 1818",Glasgow Court of Justiciary
John Collins,"John Collins, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
Thomas Collins,"Thomas Collins, one of 170 convicts transported on the Glory, May 1818",Middlesex Gaol Delivery
