OBJECTID,POA_CODE_2016,POA_NAME_2016,ActiveCases,Population,IRSD_Score,IRSD_Decile_VIC,IRSD_Perc_VIC,data_date,SHAPE_Length,SHAPE_Area
1,2739,2739,,1401,962,5,41,,0.498518096846335,0.00490504507349343
2,3000,3000,0,37975,1043,8,76,2021/01/30 00:00:00+00,0.115066353620171,0.000328037444856714
3,3002,3002,0,4964,1160,10,100,2021/01/30 00:00:00+00,0.0594010854641169,0.000190233451860492
4,3003,3003,0,5515,1101,10,93,2021/01/30 00:00:00+00,0.139532929077251,0.000674346383493614
5,3004,3004,0,9307,1128,10,98,2021/01/30 00:00:00+00,0.130971306988143,0.000339665937103924
6,3005,3005,0,525,1121,10,97,2021/01/30 00:00:00+00,0.017922739912821,1.18766375685114e-05
7,3006,3006,0,18808,1117,10,96,2021/01/30 00:00:00+00,0.0665833119700191,0.000188951986388011
8,3008,3008,0,10437,1119,10,96,2021/01/30 00:00:00+00,0.0883355432458617,0.000309180112701705
9,3010,3010,0,,,,,2021/01/30 00:00:00+00,0.0306670304592173,5.51888536416133e-05
10,3011,3011,0,21462,1016,7,64,2021/01/30 00:00:00+00,0.121593680391614,0.00061083539707176
11,3012,3012,0,26298,1011,7,61,2021/01/30 00:00:00+00,0.242858895497875,0.00156093540741735
12,3013,3013,0,14965,1089,9,90,2021/01/30 00:00:00+00,0.131021279430364,0.000580577856334954
13,3015,3015,0,17472,1089,9,90,2021/01/30 00:00:00+00,0.22389209914547,0.000910827414321223
14,3016,3016,0,15560,1091,10,91,2021/01/30 00:00:00+00,0.178708302122674,0.000755165064175259
15,3018,3018,0,12689,1031,8,72,2021/01/30 00:00:00+00,0.241160521856771,0.00181189229284767
16,3019,3019,0,9195,874,1,3,2021/01/30 00:00:00+00,0.0955977554278177,0.0004413381670741
17,3020,3020,0,44783,901,1,6,2021/01/30 00:00:00+00,0.27582952598861,0.00256781309725379
18,3021,3021,0,54191,870,1,3,2021/01/30 00:00:00+00,0.238299096511798,0.0020206258056861
19,3022,3022,0,3103,911,1,9,2021/01/30 00:00:00+00,0.0769962151913179,0.000216676883599705
20,3023,3023,0,63972,984,5,43,2021/01/30 00:00:00+00,0.364169549516403,0.00403867813296185
21,3024,3024,0,23849,972,4,36,2021/01/30 00:00:00+00,0.80886354440954,0.0154792788196129
22,3025,3025,0,12152,955,3,26,2021/01/30 00:00:00+00,0.190966624970544,0.00142840661527909
23,3026,3026,0,73,635,1,1,2021/01/30 00:00:00+00,0.206959944676667,0.00158277121968498
24,3027,3027,0,6646,1090,9,90,2021/01/30 00:00:00+00,0.0818188426305363,0.000392537449213963
25,3028,3028,0,29201,964,4,31,2021/01/30 00:00:00+00,0.241504014894035,0.00162962909594791
26,3029,3029,0,93950,992,5,48,2021/01/30 00:00:00+00,0.57924714744038,0.0105365332189267
