Albany ,6
Armadale ,19
Augusta-Margaret River ,5
Bassendean ,5
Bayswater ,19
Belmont ,8
Bridgetown-Greenbushes ,5
Broome ,10
Bunbury ,5
Busselton ,6
Cambridge ,5
Canning ,20
Carnarvon ,5
Claremont ,5
Cockburn ,21
Collie ,5
Cottesloe ,9
Dalwallinu ,5
Dardanup ,5
Donnybrook-Balingup ,5
Dumbleyung ,5
East Fremantle ,5
Fremantle ,6
Gingin ,5
Goomalling ,5
Gosnells ,18
Greater Geraldton ,5
Halls Creek ,5
Harvey ,5
Joondalup ,52
Kalamunda ,9
Kalgoorlie - Boulder ,10
Karratha ,5
Kwinana ,11
Mandurah ,32
Melville ,38
Mosman Park ,7
Mundaring ,11
Murray ,5
Narembeen ,5
Narrogin ,5
Nedlands ,9
Northam ,5
Peppermint Grove ,5
Perth ,12
Port Hedland ,5
Rockingham ,29
Serpentine-Jarrahdale ,5
South Perth ,13
Stirling ,55
Subiaco ,5
Swan ,23
Toodyay ,5
Victoria Park ,10
Vincent ,15
Wanneroo ,45
Wyalkatchem ,5
Wyndham-East Kimberley ,5
Yilgarn ,5
