            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Estimated resident population, Statistical Areas Level 2, Australian Capital Territory",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011001,Aranda,2483,2501,,18,0.7,,8,-3,13,,1.6,1600.0,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011002,Belconnen,7762,7634,,-128,-1.6,,60,-279,91,,4.4,1724.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011003,Bruce,7833,7679,,-154,-2.0,,34,-211,23,,5.8,1324.5,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011004,Charnwood,2935,2860,,-75,-2.6,,34,-124,15,,1.9,1541.0,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011005,Cook,2795,2810,,15,0.5,,21,-31,25,,1.6,1775.0,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011006,Dunlop,7184,7131,,-53,-0.7,,69,-134,12,,3.6,1985.9,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011007,Evatt,5274,5207,,-67,-1.3,,50,-132,15,,3.1,1701.5,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011008,Florey,4698,4655,,-43,-0.9,,31,-106,32,,2.8,1689.4,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011009,Flynn (ACT),3369,3369,,0,0.0,,27,-44,17,,2.1,1607.7,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011010,Fraser,1950,1960,,10,0.5,,12,-12,10,,2.5,791.9,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011011,Giralang,3308,3330,,22,0.7,,40,-29,11,,2.4,1361.0,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011012,Gooromon,7,7,,0,0.0,,0,0,0,,9.9,0.7,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011013,Hawker,2946,2982,,36,1.2,,2,12,22,,2.0,1524.3,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011014,Higgins,3088,3109,,21,0.7,,28,-18,11,,1.7,1856.9,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011015,Holt,4754,4863,,109,2.3,,51,45,13,,3.3,1475.6,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011016,Kaleen,7422,7459,,37,0.5,,75,-71,33,,6.0,1237.6,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011017,Latham,3641,3684,,43,1.2,,29,6,8,,2.7,1348.9,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011018,Lawson,1895,2012,,117,6.2,,51,58,8,,3.1,652.3,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011019,Macgregor (ACT),7240,7343,,103,1.4,,94,-18,27,,4.3,1717.7,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011020,Macquarie,2867,2824,,-43,-1.5,,12,-76,21,,1.7,1660.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011021,McKellar,2824,2843,,19,0.7,,17,-6,8,,1.4,2010.6,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011022,Melba,3217,3246,,29,0.9,,21,-14,22,,2.3,1406.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011023,Page,3144,3120,,-24,-0.8,,-61,7,30,,1.3,2359.2,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011024,Scullin,3008,3020,,12,0.4,,43,-52,21,,1.4,2117.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011025,Spence,2624,2635,,11,0.4,,25,-24,10,,1.5,1730.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011026,Weetangera,2655,2650,,-5,-0.2,,10,-20,5,,1.6,1673.8,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011111,Molonglo Corridor,12,12,,0,0.0,,0,0,0,,24.9,0.5,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80101,Belconnen,801011112,West Belconnen,15,115,,100,666.7,,3,97,0,,11.4,10.1,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031031,Hume,434,434,,0,0.0,,0,0,0,,8.6,50.6,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031032,Kowen,38,38,,0,0.0,,0,0,0,,77.0,0.5,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031113,Canberra East,805,825,,20,2.5,,7,9,4,,31.1,26.6,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031114,Canberra Airport,99,99,,0,0.0,,0,0,0,,5.5,17.9,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80103,Canberra East,801031115,Majura,187,207,,20,10.7,,3,17,0,,89.7,2.3,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041034,Amaroo,5834,5899,,65,1.1,,46,-3,22,,2.6,2280.1,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041035,Bonner,7284,7341,,57,0.8,,105,-93,45,,2.8,2663.7,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041036,Casey,6640,6819,,179,2.7,,142,18,19,,2.6,2600.2,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041037,Crace,5235,5320,,85,1.6,,89,-37,33,,1.7,3220.7,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041038,Forde,4626,4642,,16,0.3,,55,-61,22,,1.9,2421.4,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041039,Franklin,7427,7480,,53,0.7,,116,-134,71,,2.3,3257.0,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041040,Gungahlin,6735,6972,,237,3.5,,110,44,83,,4.6,1527.5,
8,Australian Capital Territory,8ACTE,Australian Capital Territory,801,Australian Capital Territory,80104,Gungahlin,801041043,Hall,267,291,,24,9.0,,3,21,0,,2.9,101.8,
