,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood,4222,4291,,69,1.6,,4,57,8,,3418.4,1.3,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar,8370,8371,,1,0.0,,78,-103,26,,7.0,1198.9,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan,11449,11450,,1,0.0,,55,-148,94,,4.8,2403.7,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East,5148,5083,,-65,-1.3,,48,-158,45,,13.0,390.9,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021011,Queanbeyan Region,20238,21496,,1258,6.2,,244,971,43,,3054.4,7.0,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,13135,13080,,-55,-0.4,,131,-239,53,,13.7,956.2,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala,2423,2421,,-2,-0.1,,9,-13,2,,3989.4,0.6,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma,6853,6807,,-46,-0.7,,10,-77,21,,103.6,65.7,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Region,3382,3459,,77,2.3,,4,67,6,,6250.9,0.6,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale,7214,7343,,129,1.8,,33,49,47,,3939.5,1.9,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay,8025,8173,,148,1.8,,-33,167,14,,63.7,128.3,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South,8527,8581,,54,0.6,,-57,94,17,,30.6,280.5,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra,8696,8796,,100,1.1,,5,86,9,,183.9,47.8,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland,8893,8879,,-14,-0.2,,19,-41,8,,4710.2,1.9,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin,3529,3661,,132,3.7,,-30,158,4,,24.2,151.1,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041022,Deua - Wadbilliga,25,25,,0,0.0,,0,0,0,,2782.0,0.0,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041023,Eden,3236,3265,,29,0.9,,-10,37,2,,94.8,34.4,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041024,Eurobodalla Hinterland,3406,3494,,88,2.6,,-3,89,2,,1460.0,2.4,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041025,Merimbula - Tura Beach,11307,11434,,127,1.1,,-47,148,26,,97.3,117.5,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041026,Moruya - Tuross Head,8243,8313,,70,0.8,,-25,80,15,,165.4,50.3,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041027,Narooma - Bermagui,9204,9241,,37,0.4,,-64,87,14,,252.7,36.6,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051539,Goulburn,24066,24382,,316,1.3,,31,204,81,,64.8,376.3,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051540,Goulburn Region,13259,13530,,271,2.0,,37,223,11,,9035.1,1.5,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061541,Yass,6691,6713,,22,0.3,,9,1,12,,99.7,67.3,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061542,Yass Region,12279,12547,,268,2.2,,71,172,25,,5680.9,2.2,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061543,Young,10826,10712,,-114,-1.1,,59,-189,16,,505.8,21.2,
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061544,Young Region,7235,7252,,17,0.2,,-1,9,9,,5849.8,1.2,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011028,Avoca Beach - Copacabana,7760,7778,,18,0.2,,59,-71,30,,6.4,1208.2,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011029,Box Head - MacMasters Beach,11142,11141,,-1,0.0,,16,-43,26,,32.1,347.2,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011030,Calga - Kulnura,4970,4995,,25,0.5,,16,-6,15,,768.0,6.5,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011031,Erina - Green Point,14392,14338,,-54,-0.4,,-188,83,51,,33.8,424.3,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011032,Gosford - Springfield,19884,20279,,395,2.0,,83,206,106,,16.9,1199.1,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011033,Kariong,6552,6588,,36,0.5,,65,-40,11,,8.3,793.1,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011034,Kincumber - Picketts Valley,7556,7532,,-24,-0.3,,-10,-31,17,,12.1,623.1,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011035,Narara,6919,6961,,42,0.6,,74,-50,18,,7.7,903.8,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011036,Niagara Park - Lisarow,8120,8085,,-35,-0.4,,31,-83,17,,16.7,483.2,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011037,Point Clare - Koolewong,6269,6319,,50,0.8,,-16,45,21,,6.8,931.0,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011038,Saratoga - Davistown,7339,7360,,21,0.3,,30,-27,18,,4.8,1543.5,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011039,Terrigal - North Avoca,14449,14784,,335,2.3,,76,176,83,,10.1,1462.7,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011040,Umina - Booker Bay - Patonga,24810,25124,,314,1.3,,-21,265,70,,25.2,995.9,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011041,Wamberal - Forresters Beach,10430,10512,,82,0.8,,63,-7,26,,13.7,766.1,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011042,Woy Woy - Blackwall,14513,14555,,42,0.3,,-42,43,41,,17.4,835.4,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10201,Gosford,102011043,Wyoming,11830,11829,,-1,0.0,,-11,-16,26,,8.4,1411.4,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021044,Bateau Bay - Killarney Vale,22612,22656,,44,0.2,,-15,25,34,,10.9,2086.3,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021045,Blue Haven - San Remo,11439,11319,,-120,-1.0,,117,-252,15,,21.0,539.5,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021046,Budgewoi - Buff Point - Halekulani,9769,9843,,74,0.8,,43,20,11,,9.4,1052.4,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021047,Chittaway Bay - Tumbi Umbi,15745,15739,,-6,0.0,,39,-73,28,,24.5,642.4,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021048,Gorokan - Kanwal - Charmhaven,22893,22796,,-97,-0.4,,-2,-131,36,,11.2,2026.5,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021049,Jilliby - Yarramalong,3576,3578,,2,0.1,,21,-26,7,,346.8,10.3,
1,New South Wales,1GSYD,Greater Sydney,102,Central Coast,10202,Wyong,102021050,Lake Munmorah - Mannering Park,11234,11291,,57,0.5,,25,17,15,,35.5,318.1,
