            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Estimated resident population, Statistical Areas Level 2, Queensland",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011001,Alexandra Hills,16932,16881,,-51,-0.3,,120,-235,64,,13.6,1238.4,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011002,Belmont - Gumdale,7944,7902,,-42,-0.5,,39,-115,34,,33.1,238.7,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011003,Birkdale,15673,15590,,-83,-0.5,,-7,-120,44,,11.6,1344.1,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011004,Capalaba,18812,18780,,-32,-0.2,,120,-209,57,,18.9,994.2,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011005,Thorneside,3967,4047,,80,2.0,,36,34,10,,2.7,1518.1,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011006,Wellington Point,12322,12399,,77,0.6,,17,24,36,,9.4,1318.5,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021007,Cleveland,15699,15668,,-31,-0.2,,-92,-33,94,,11.9,1321.7,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021008,Ormiston,6139,6229,,90,1.5,,-1,66,25,,4.9,1263.7,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021009,Redland Bay,17751,18032,,281,1.6,,147,99,35,,46.9,384.5,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021011,Sheldon - Mount Cotton,8862,8935,,73,0.8,,101,-40,12,,65.2,137.0,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021012,Thornlands,17241,18055,,814,4.7,,83,647,84,,21.6,834.0,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021013,Victoria Point,15553,15513,,-40,-0.3,,-64,-11,35,,13.4,1157.2,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021527,Redland Islands,9850,10202,,352,3.6,,-21,348,25,,317.0,32.2,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031014,Brisbane Port - Lytton,9,9,,0,0.0,,0,0,0,,32.8,0.3,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031015,Manly - Lota,7851,7980,,129,1.6,,0,85,44,,4.2,1900.5,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031016,Manly West,12145,12220,,75,0.6,,64,-21,32,,4.9,2491.1,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031017,Murarrie,4593,4780,,187,4.1,,54,101,32,,8.4,566.4,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031018,Tingalpa,9305,9364,,59,0.6,,90,-78,47,,8.9,1049.0,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031019,Wakerley,9794,9976,,182,1.9,,114,26,42,,5.2,1919.9,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031020,Wynnum,14464,14701,,237,1.6,,42,113,82,,6.1,2397.3,
3,Queensland,3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031021,Wynnum West - Hemmant,15737,15858,,121,0.8,,41,17,63,,12.3,1292.0,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30201,Bald Hills - Everton Park,302011022,Bald Hills,7780,7846,,66,0.8,,79,-41,28,,13.4,587.5,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30201,Bald Hills - Everton Park,302011023,Bridgeman Downs,9153,9576,,423,4.6,,62,320,41,,9.5,1010.2,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30201,Bald Hills - Everton Park,302011024,Carseldine,10027,10141,,114,1.1,,-23,88,49,,4.5,2230.9,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30201,Bald Hills - Everton Park,302011025,Everton Park,9908,10035,,127,1.3,,92,-32,67,,4.2,2408.6,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30201,Bald Hills - Everton Park,302011026,McDowall,8116,8203,,87,1.1,,61,0,26,,4.4,1870.4,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021027,Aspley,12958,12978,,20,0.2,,29,-75,66,,6.3,2073.8,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021028,Chermside,10421,10530,,109,1.0,,-55,46,118,,3.4,3108.5,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021029,Chermside West,6786,6856,,70,1.0,,60,-37,47,,3.4,2014.6,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021030,Geebung,4488,4530,,42,0.9,,-1,19,24,,4.0,1120.2,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021031,Kedron - Gordon Park,14960,15224,,264,1.8,,136,27,101,,5.2,2916.5,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021032,Stafford,7195,7382,,187,2.6,,72,78,37,,3.4,2147.1,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021033,Stafford Heights,7276,7304,,28,0.4,,22,-20,26,,2.9,2511.0,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30202,Chermside,302021034,Wavell Heights,10684,10777,,93,0.9,,106,-50,37,,3.6,3011.0,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031035,Boondall,9873,9937,,64,0.6,,74,-71,61,,10.8,924.3,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031036,Brisbane Airport,200,200,,0,0.0,,0,0,0,,45.5,4.4,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031037,Eagle Farm - Pinkenba,1331,1485,,154,11.6,,16,130,8,,7.2,205.3,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031038,Northgate - Virginia,7087,7088,,1,0.0,,83,-128,46,,6.1,1156.9,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031039,Nudgee - Banyo,10584,10806,,222,2.1,,76,87,59,,13.8,785.2,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30203,Nundah,302031040,Nundah,14299,14454,,155,1.1,,102,-116,169,,3.7,3935.4,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30204,Sandgate,302041041,Bracken Ridge,17824,18008,,184,1.0,,178,-136,142,,8.1,2220.4,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30204,Sandgate,302041042,Brighton (Qld),10019,10111,,92,0.9,,58,13,21,,6.5,1557.9,
3,Queensland,3GBRI,Greater Brisbane,302,Brisbane - North,30204,Sandgate,302041043,Deagon,3994,4079,,85,2.1,,11,66,8,,2.8,1447.6,
