            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, Statistical Areas Level 2, South Australia",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40101,Adelaide City,401011001,Adelaide,18181,18829,,648,3.6,,61,-125,712,,10.5,1796.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40101,Adelaide City,401011002,North Adelaide,7368,7348,,-20,-0.3,,-23,-101,104,,5.1,1443.4,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021003,Adelaide Hills,7013,7012,,-1,0.0,,12,-32,19,,364.4,19.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021004,Aldgate - Stirling,18022,18064,,42,0.2,,74,-121,89,,117.2,154.1,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021005,Hahndorf - Echunga,4588,4601,,13,0.3,,-36,29,20,,110.2,41.8,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021006,Lobethal - Woodside,9253,9315,,62,0.7,,0,31,31,,202.5,46.0,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021007,Mount Barker,19481,20435,,954,4.9,,147,724,83,,54.1,377.7,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021008,Mount Barker Region,6679,6818,,139,2.1,,38,88,13,,395.7,17.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021009,Nairne,5330,5387,,57,1.1,,57,-11,11,,24.9,216.7,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40102,Adelaide Hills,401021010,Uraidla - Summertown,5641,5745,,104,1.8,,26,58,20,,119.2,48.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031011,Burnside - Wattle Park,19316,19415,,99,0.5,,41,-111,169,,11.3,1717.4,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031012,Glenside - Beaumont,10121,10187,,66,0.7,,-9,-19,94,,9.5,1069.3,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40103,Burnside,401031013,Toorak Gardens,16417,16525,,108,0.7,,-83,-9,200,,6.7,2471.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041014,Athelstone,9418,9522,,104,1.1,,54,-6,56,,6.2,1534.8,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041015,Paradise - Newton,20503,20790,,287,1.4,,-13,44,256,,9.2,2253.5,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40104,Campbelltown (SA),401041016,Rostrevor - Magill,22857,23299,,442,1.9,,58,-47,431,,9.9,2344.4,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40105,Norwood - Payneham - St Peters,401051017,Norwood (SA),10693,10845,,152,1.4,,24,-60,188,,3.9,2786.1,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40105,Norwood - Payneham - St Peters,401051018,Payneham - Felixstow,12768,12903,,135,1.1,,-42,-64,241,,5.2,2467.9,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40105,Norwood - Payneham - St Peters,401051019,St Peters - Marden,13638,13714,,76,0.6,,46,-174,204,,6.0,2292.3,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40106,Prospect - Walkerville,401061020,Nailsworth - Broadview,6322,6386,,64,1.0,,56,-61,69,,2.3,2757.2,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40106,Prospect - Walkerville,401061021,Prospect,15216,15441,,225,1.5,,64,-90,251,,5.5,2820.1,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40106,Prospect - Walkerville,401061022,Walkerville,8008,8094,,86,1.1,,-21,13,94,,3.5,2292.9,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40107,Unley,401071023,Goodwood - Millswood,18201,18285,,84,0.5,,32,-190,242,,7.2,2540.4,
4,South Australia,4GADE,Greater Adelaide,401,Adelaide - Central and Hills,40107,Unley,401071024,Unley - Parkside,21043,21131,,88,0.4,,-130,-43,261,,7.1,2987.7,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40201,Gawler - Two Wells,402011025,Gawler - North,9533,9582,,49,0.5,,55,-27,21,,145.5,65.8,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40201,Gawler - Two Wells,402011026,Gawler - South,21078,21371,,293,1.4,,25,211,57,,76.7,278.6,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40201,Gawler - Two Wells,402011027,Lewiston - Two Wells,5847,6118,,271,4.6,,59,210,2,,84.6,72.3,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021028,Craigmore - Blakeview,19355,19693,,338,1.7,,163,118,57,,11.9,1657.6,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021029,Davoren Park,18164,18291,,127,0.7,,235,-175,67,,9.5,1932.5,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021030,Elizabeth,10574,10626,,52,0.5,,51,-185,186,,9.3,1147.4,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021031,Elizabeth East,13392,13449,,57,0.4,,10,-20,67,,8.2,1647.4,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021032,Munno Para West - Angle Vale,14610,15577,,967,6.6,,246,679,42,,44.3,351.5,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021033,One Tree Hill,2511,2513,,2,0.1,,20,-25,7,,130.2,19.3,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021034,Smithfield - Elizabeth North,12302,12269,,-33,-0.3,,73,-163,57,,8.0,1536.1,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40202,Playford,402021035,Virginia - Waterloo Corner,4700,4877,,177,3.8,,39,127,11,,135.6,36.0,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031036,Enfield - Blair Athol,24447,24758,,311,1.3,,240,-435,506,,15.2,1631.3,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031037,Northgate - Oakden - Gilles Plains,26913,27479,,566,2.1,,176,105,285,,11.2,2446.1,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40203,Port Adelaide - East,402031038,Windsor Gardens,21627,21945,,318,1.5,,194,-281,405,,8.4,2603.3,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041039,Dry Creek - North,0,0,,0,0.0,,0,0,0,,38.6,0.0,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041040,Ingle Farm,15101,15209,,108,0.7,,7,1,100,,7.4,2048.0,
4,South Australia,4GADE,Greater Adelaide,402,Adelaide - North,40204,Salisbury,402041041,Para Hills,14830,14870,,40,0.3,,84,-142,98,,10.2,1461.7,
