            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated resident population, Statistical Areas Level 2, Tasmania",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011001,Bridgewater - Gagebrook,7407,7543,,136,1.8,,105,28,3,,55.7,135.3,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011002,Brighton - Pontville,6005,6213,,208,3.5,,71,128,9,,88.8,70.0,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60101,Brighton,601011003,Old Beach - Otago,4866,4975,,109,2.2,,31,64,14,,31.6,157.6,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021004,Bellerive - Rosny,6091,6092,,1,0.0,,18,-48,31,,4.7,1291.2,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021005,Cambridge,8126,8367,,241,3.0,,31,184,26,,101.7,82.3,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021006,Geilston Bay - Risdon,3300,3314,,14,0.4,,22,-21,13,,8.7,380.3,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021007,Howrah - Tranmere,11148,11295,,147,1.3,,64,-3,86,,9.4,1200.1,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021008,Lindisfarne - Rose Bay,7506,7549,,43,0.6,,-93,90,46,,8.0,943.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021009,Mornington - Warrane,4815,4812,,-3,-0.1,,-8,-38,43,,8.2,585.8,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021010,Risdon Vale,3326,3432,,106,3.2,,24,73,9,,35.5,96.7,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021011,Rokeby,6706,6971,,265,4.0,,103,151,11,,15.4,452.0,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60102,Hobart - North East,601021012,South Arm,4511,4570,,59,1.3,,37,3,19,,74.3,61.5,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031013,Austins Ferry - Granton,4168,4238,,70,1.7,,27,29,14,,27.4,154.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031014,Berriedale - Chigwell,5628,5654,,26,0.5,,28,-55,53,,34.0,166.1,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031015,Claremont (Tas.),8001,8046,,45,0.6,,3,15,27,,17.9,448.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031016,Derwent Park - Lutana,4301,4241,,-60,-1.4,,53,-166,53,,4.9,862.1,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031017,Glenorchy,11642,11646,,4,0.0,,-21,-64,89,,10.5,1113.4,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031018,Montrose - Rosetta,5105,5039,,-66,-1.3,,5,-102,31,,5.7,879.0,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031019,Moonah,5358,5365,,7,0.1,,63,-137,81,,2.8,1920.2,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031020,New Norfolk,6884,6949,,65,0.9,,7,49,9,,63.3,109.8,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60103,Hobart - North West,601031021,West Moonah,4086,4044,,-42,-1.0,,54,-161,65,,1.8,2281.4,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60104,Hobart - South and West,601041022,Kingston - Huntingfield,12036,12129,,93,0.8,,79,-75,89,,61.8,196.2,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60104,Hobart - South and West,601041023,Kingston Beach - Blackmans Bay,11079,11183,,104,0.9,,41,-7,70,,22.3,502.1,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60104,Hobart - South and West,601041024,Margate - Snug,8254,8319,,65,0.8,,39,3,23,,146.2,56.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60104,Hobart - South and West,601041025,Mount Wellington,0,0,,0,0.0,,0,0,0,,90.2,0.0,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60104,Hobart - South and West,601041026,Taroona - Bonnet Hill,3731,3724,,-7,-0.2,,5,-35,23,,8.0,464.5,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051027,Hobart,8734,8977,,243,2.8,,-17,27,233,,6.6,1356.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051028,Lenah Valley - Mount Stuart,8835,8888,,53,0.6,,68,-86,71,,9.8,906.1,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051029,Mount Nelson - Dynnyrne,5300,5338,,38,0.7,,13,-121,146,,7.9,673.8,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051030,New Town,6297,6339,,42,0.7,,-36,-32,110,,3.8,1658.6,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051031,Sandy Bay,12872,12905,,33,0.3,,-20,-329,382,,6.9,1857.8,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051032,South Hobart - Fern Tree,6504,6594,,90,1.4,,9,-10,91,,23.5,280.7,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60105,Hobart Inner,601051033,West Hobart,6305,6320,,15,0.2,,42,-117,90,,3.6,1744.4,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60106,Sorell - Dodges Ferry,601061034,Dodges Ferry - Lewisham,8059,8244,,185,2.3,,47,115,23,,318.4,25.9,
6,Tasmania,6GHOB,Greater Hobart,601,Hobart,60106,Sorell - Dodges Ferry,601061035,Sorell - Richmond,9238,9519,,281,3.0,,38,213,30,,375.9,25.3,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011036,Invermay,3188,3235,,47,1.5,,21,-34,60,,4.0,803.1,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011037,Kings Meadows - Punchbowl,4564,4656,,92,2.0,,12,66,14,,5.8,808.5,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011038,Launceston,5326,5354,,28,0.5,,27,-129,130,,5.3,1014.0,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011039,Legana,4411,4491,,80,1.8,,16,46,18,,33.7,133.3,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011040,Mowbray,3997,4070,,73,1.8,,41,-106,138,,9.3,438.5,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011041,Newnham - Mayfield,9745,10038,,293,3.0,,52,24,217,,23.6,425.5,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011042,Newstead,5548,5570,,22,0.4,,0,-37,59,,3.7,1510.5,
6,Tasmania,6RTAS,Rest of Tas.,602,Launceston and North East,60201,Launceston,602011043,Norwood (Tas.),3964,3979,,15,0.4,,-64,72,7,,4.0,998.5,
