            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated resident population, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011001,Alfredton,14071,15037,,966,6.9,,156,760,50,,52.7,285.3,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011002,Ballarat,12223,12099,,-124,-1.0,,-48,-138,62,,12.4,977.4,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011003,Ballarat - North,24456,24614,,158,0.6,,68,22,68,,92.4,266.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011004,Ballarat - South,25594,25649,,55,0.2,,135,-196,116,,32.9,780.7,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011005,Buninyong,7713,7723,,10,0.1,,22,-46,34,,51.6,149.7,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011006,Delacombe,8495,9238,,743,8.7,,83,646,14,,34.2,270.4,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011007,Smythes Creek,4081,4115,,34,0.8,,23,11,0,,104.7,39.3,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20101,Ballarat,201011008,Wendouree - Miners Rest,15100,15173,,73,0.5,,0,13,60,,67.6,224.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021009,Bacchus Marsh Region,6211,6310,,99,1.6,,9,82,8,,1038.8,6.1,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021010,Creswick - Clunes,8087,8131,,44,0.5,,-30,64,10,,856.8,9.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021011,Daylesford,9324,9436,,112,1.2,,-22,105,29,,920.8,10.2,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20102,Creswick - Daylesford - Ballan,201021012,Gordon (Vic.),5999,6076,,77,1.3,,9,63,5,,850.3,7.1,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031013,Avoca,3364,3370,,6,0.2,,-4,7,3,,1714.2,2.0,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031014,Beaufort,4547,4615,,68,1.5,,-12,76,4,,1863.0,2.5,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031015,Golden Plains - North,4862,4939,,77,1.6,,18,55,4,,922.1,5.4,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031016,Maryborough (Vic.),8062,8006,,-56,-0.7,,-87,22,9,,45.5,175.8,
2,Victoria,2RVIC,Rest of Vic.,201,Ballarat,20103,Maryborough - Pyrenees,201031017,Maryborough Region,5354,5323,,-31,-0.6,,-18,-18,5,,1627.6,3.3,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011018,Bendigo,14776,14703,,-73,-0.5,,-21,-131,79,,16.0,920.4,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011019,California Gully - Eaglehawk,12978,13252,,274,2.1,,83,163,28,,33.0,401.1,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011020,East Bendigo - Kennington,13825,13720,,-105,-0.8,,-26,-131,52,,17.1,800.1,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011021,Flora Hill - Spring Gully,9693,9833,,140,1.4,,69,17,54,,13.2,744.8,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011022,Kangaroo Flat - Golden Square,20560,20744,,184,0.9,,39,66,79,,40.9,507.0,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011023,Maiden Gully,5458,5593,,135,2.5,,49,77,9,,43.0,130.1,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011024,Strathfieldsaye,9907,10328,,421,4.2,,77,328,16,,56.4,183.1,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20201,Bendigo,202011025,White Hills - Ascot,13793,14326,,533,3.9,,168,325,40,,67.8,211.4,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021026,Bendigo Region - South,7891,8119,,228,2.9,,73,146,9,,796.9,10.2,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021027,Castlemaine,11194,11347,,153,1.4,,-50,167,36,,83.9,135.2,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021028,Castlemaine Region,8796,8898,,102,1.2,,5,83,14,,1515.0,5.9,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021029,Heathcote,4689,4790,,101,2.2,,-12,109,4,,756.8,6.3,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021030,Kyneton,10225,10359,,134,1.3,,0,106,28,,556.5,18.6,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20202,Heathcote - Castlemaine - Kyneton,202021031,Woodend,7512,7607,,95,1.3,,-15,91,19,,211.9,35.9,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20203,Loddon - Elmore,202031032,Bendigo Region - North,4580,4626,,46,1.0,,5,38,3,,1440.2,3.2,
2,Victoria,2RVIC,Rest of Vic.,202,Bendigo,20203,Loddon - Elmore,202031033,Loddon,7033,7003,,-30,-0.4,,-50,11,9,,6193.3,1.1,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011034,Bannockburn,7346,7594,,248,3.4,,67,172,9,,192.1,39.5,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011035,Golden Plains - South,7433,7601,,168,2.3,,57,101,10,,1484.5,5.1,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20301,Barwon - West,203011036,Winchelsea,5951,6094,,143,2.4,,24,114,5,,903.3,6.7,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021037,Belmont,14765,14829,,64,0.4,,56,-87,95,,9.4,1583.0,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021038,Corio - Norlane,27574,27622,,48,0.2,,117,-291,222,,80.8,341.8,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021039,Geelong,13587,13781,,194,1.4,,35,15,144,,12.8,1075.2,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021040,Geelong West - Hamlyn Heights,20871,21272,,401,1.9,,159,96,146,,32.0,664.0,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021041,Grovedale,29379,31579,,2200,7.5,,185,1874,141,,55.7,566.9,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021042,Highton,23802,23869,,67,0.3,,84,-211,194,,40.6,588.1,
2,Victoria,2RVIC,Rest of Vic.,203,Geelong,20302,Geelong,203021043,Lara,20580,20938,,358,1.7,,165,121,72,,588.6,35.6,
