            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated resident population, Statistical Areas Level 2, Western Australia",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011001,Augusta,6056,6349,,293,4.8,,27,241,25,,2106.6,3.0,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011002,Busselton,28033,28407,,374,1.3,,-1,295,80,,196.2,144.8,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011003,Busselton Region,11593,11919,,326,2.8,,89,171,66,,1227.1,9.7,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50101,Augusta - Margaret River - Busselton,501011004,Margaret River,10097,10323,,226,2.2,,81,19,126,,134.4,76.8,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021005,Australind - Leschenault,18809,19101,,292,1.6,,182,45,65,,67.3,283.8,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021007,Capel,5396,5471,,75,1.4,,19,46,10,,507.1,10.8,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021008,College Grove - Carey Park,6804,6843,,39,0.6,,22,-28,45,,9.7,704.4,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021009,Collie,8673,8601,,-72,-0.8,,-2,-86,16,,1709.8,5.0,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021010,Dardanup,3192,3239,,47,1.5,,20,20,7,,517.1,6.3,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021011,Davenport,12,12,,0,0.0,,0,0,0,,11.7,1.0,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021012,Eaton - Pelican Point,12112,12204,,92,0.8,,63,-24,53,,10.0,1226.3,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021014,Harvey,9060,9084,,24,0.3,,5,-42,61,,1660.6,5.5,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021015,East Bunbury - Glen Iris,6955,7010,,55,0.8,,29,-27,53,,23.0,305.2,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021016,Waroona,4211,4267,,56,1.3,,0,50,6,,832.2,5.1,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021251,Dalyellup,9671,9778,,107,1.1,,95,-40,52,,16.3,598.8,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021252,Gelorup - Stratham,3105,3165,,60,1.9,,-4,51,13,,65.3,48.5,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021253,South Bunbury - Bunbury,12130,12066,,-64,-0.5,,-42,-146,124,,11.3,1072.5,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50102,Bunbury,501021254,Withers - Usher,5018,4976,,-42,-0.8,,52,-123,29,,8.2,605.5,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50103,Manjimup,501031017,Bridgetown - Boyup Brook,6503,6527,,24,0.4,,-9,21,12,,4163.8,1.6,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50103,Manjimup,501031018,Donnybrook - Balingup,6096,6157,,61,1.0,,11,20,30,,1559.9,3.9,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50103,Manjimup,501031019,Manjimup,5428,5466,,38,0.7,,2,18,18,,323.8,16.9,
5,Western Australia,5RWAU,Rest of WA,501,Bunbury,50103,Manjimup,501031020,Pemberton,5099,5103,,4,0.1,,2,-17,19,,9641.1,0.5,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011021,Dawesville - Bouvard,8228,8530,,302,3.7,,43,233,26,,97.9,87.1,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011022,Falcon - Wannanup,9362,9607,,245,2.6,,32,158,55,,9.6,1001.8,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011023,Greenfields,9867,9860,,-7,-0.1,,-53,8,38,,10.0,989.9,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011024,Halls Head - Erskine,19685,19945,,260,1.3,,37,90,133,,14.2,1400.0,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011025,Mandurah,8838,8832,,-6,-0.1,,-9,-75,78,,8.4,1052.0,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011026,Mandurah - East,6521,6665,,144,2.2,,17,111,16,,40.2,165.7,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011027,Mandurah - North,20394,21086,,692,3.4,,177,401,114,,31.8,662.2,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011028,Mandurah - South,10505,10600,,95,0.9,,-68,112,51,,11.8,896.3,
5,Western Australia,5GPER,Greater Perth,502,Mandurah,50201,Mandurah,502011029,Pinjarra,10097,10239,,142,1.4,,28,92,22,,808.9,12.7,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011030,City Beach,6892,6909,,17,0.2,,-11,-1,29,,9.8,704.5,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011031,Claremont (WA),8632,8885,,253,2.9,,-35,212,76,,3.9,2294.7,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011032,Cottesloe,7993,8109,,116,1.5,,30,29,57,,3.8,2161.8,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011033,Floreat,8846,8905,,59,0.7,,24,6,29,,4.4,2014.9,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011034,Mosman Park - Peppermint Grove,10856,10868,,12,0.1,,4,-124,132,,5.4,2007.1,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011035,Nedlands - Dalkeith - Crawley,19450,19678,,228,1.2,,41,-120,307,,9.7,2018.3,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50301,Cottesloe - Claremont,503011036,Swanbourne - Mount Claremont,9674,9942,,268,2.8,,56,174,38,,11.7,849.7,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021037,Kings Park (WA),36,36,,0,0.0,,0,0,0,,4.2,8.6,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021038,Mount Hawthorn - Leederville,11601,11763,,162,1.4,,110,-36,88,,3.9,3017.5,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021039,Mount Lawley - Inglewood,17306,17460,,154,0.9,,32,-74,196,,7.1,2465.7,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021040,North Perth,9234,9342,,108,1.2,,28,-5,85,,3.1,3022.9,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021041,Perth City,36338,38517,,2179,6.0,,224,528,1427,,10.9,3528.5,
5,Western Australia,5GPER,Greater Perth,503,Perth - Inner,50302,Perth City,503021042,Subiaco - Shenton Park,17522,17748,,226,1.3,,51,19,156,,7.8,2276.5,
